평점,리뷰
4.0,"지루한 초반 전개를 참으면 흥미진진한 후반 전개가 펼쳐지고, 곧바로 시즌 2를 재생하는 자신을 발견하게 된다."
4.0,왕좌의 게임이 모든 시즌을 흥미롭게 이뤄나가는 가장 큰 이유는 메인 주인공을 두지 않는다는 점. 모든 캐릭터들을 치밀하게 구성한 각본의 힘.
4.0,감당하기 힘든 인물들이 조화롭게 등장하는
4.0,왓챠가 터지는 것에 감사하며. 역시 이렇게 등장인물 많고 이름 어렵고 지역이름 어려운 건 나랑 안맞다. 근데 다 죽여버리네. 때리고 싶은 애들이 너무 많음. 걔네 언제 죽나 기다릴뿐.
4.0,"역대급이라고 하긴 부족하지만 '안본 사람들이 부럽다' 라는 말을 믿고 끝까지 볼 것이다. 인물 나라이름들이 많아서 종종 ""뭐였더라""하기도 했고, 아쉬운 부분이 조금씩 있긴하지만 매편마다 엔딩이 참 다음 화를 보도록 이끌기에... (세계관 정말 넓다...ㄷㄷ)
ㅡㅡㅡ 다시보면 다르다 이렇게 탄탄했을 줄이야;;"
3.5,10여년전 처음 소설을 읽었을때 숨쉬기도 힘들었다. 드라마로 나와주니 그저 감사할 따름
1.0,"한드 (한국드라마) 가 세계시장에 통하려고 로맨스,가족,러브스토리 소재로만 치우 칠수밖에 없는 이유.
이런류는 미드의 절정 왕좌의 게임이 이미 석권해 버려서"
5.0,"왜 이거가지고 난리였는지?
별로 재미없음 시즌2까지 보다말았음"
4.5,갓갓 킹엠페러레전드 왕좌의 게임 나가신다
4.5,아직도 왕좌의 게임에서 내 최애는 드로고 ㅠㅠ
4.0,"전편이출시되길6년이나기다렸다
드디어시즌6까지 전편dvd출시가 이렇게 반가울수가 없었다(2016년11월17일구입)
첫시즌을 연순간 그긴시간의 기다림을 보상받음에 충분하다
이제한일주일은 그들만의 게임에 동참할뿐~"
5.0,재밌는데 뭔가 살짝 졸려
5.0,스포일러가 있어요!! 보기
5.0,많은 사람들이 인생미드라고 말하는데는 다 이유가 있다.
5.0,"말이 필요없다...
보시라~!"
5.0,위대한 시리즈의 시작.
4.5,용어미의 탄생
4.5,다모클레스의 검.
4.0,조프리..........
1.5,이렇게들 보내면 정을 줄 수가 없잖아요... ㅠㅠ
3.0,"절반쯤 보다가 추천해 준 친구와 술 한잔 하면서 말했다. ""이야기가 너무 무난하고 술술 풀린다. 시즌이 많은 걸로 봐선 이야기를 이어나가려고 암 걸리는 방향으로 갈 것 같다. 여기서 일어날 수 있는 일은 세 가지 정돈데 제발 그렇게만 진행 안되면 좋을 거 같다."" 전부 적중했고 술자리에서 셀프 스포를 하고만 나는, 시즌이 진행되면 재미있어진다는 이야기나 잔뜩 듣고 왔다. 어휴....."
5.0,집 나가면 개고생.
5.0,"왕좌에 앉기 위한 투쟁이 아닌, 왕좌가 일으켜낸 폭풍에 휩쓸릴 뿐."
4.0,왕겜 아직 안 본 사람 사람아님
4.0,에밀리아 클라크 캐릭터 한 명 만으로도.
4.5,나 이런거 싫어하네.. 그럼에도 불구하고 4점
4.5,인상깊은 장면 : 네드 스타크의 처형식
5.0,대너리스.....!
4.0,Masterpiece
5.0,스포일러가 있어요!! 보기
1.0,시간남나돌아서봤는데 이건시간내서봐야되는거였네
4.0,"하..... 
진짜 모르겠다...
어디를 포인트로 두고 평가해야하나..
내눈에는 스토리형 포르노? 라는 생각이 드는데...
저렇게 자극적이여야 하나?
저렇게 다 벗겨놓고 대놓고 성기를 비추고...
근데 왜 여자 배우들만....
남자배우들도 동일하게 비추던가!!!
보면서 용엄마만 기다리는데 한편에 얼마 나오지도 않고...
아쿠아맨 죽인것도 짱난다..."
4.0,Winter is coming. 겨울이 온다. 시즌2가 온다.
5.0,정주행 시작
5.0,"하도 재밌다길래 보다가 재미없음 말아야지했는데
계속봤다 잠안자고"
2.0,스타크가 목이 잘릴줄은 생각도 못했는데... 설마설마 했는데 ㅋㅋ 주인공 없는 드라마라니!!!!
5.0,난 그냥 그랬음~ 야하고 잔인해서 자극적이었지만 소문만큼의 흡입력은 없었다
2.0,"해리포터 오프닝음악 다음으로 설레는 음악이라면
왕좌 오프닝 음악아니겠음? 
+ 전설의 시작"
4.0,첫화가 지루해서 안보다가 시즌1을 몰아서 봤지만 ㅋㅋㅋㅋ 그냥 저냥 지루함 ㅎㅎ
4.5,"다가올 겨울이 기대되네요 ㅎㅎ
im so happy cuz winter is coming!! :)"
4.0,이토록 방대한 서사를 tv드라마에 담았다는 것만으로도
4.5,winter is coming.
5.0,항상 끝날 때마다 멘탈이 파스스
4.5,미쳤어!!
4.5,....정 주지 말자....(제발!!!!)
5.0,winter is coming
4.0,지독한 운명의 시작
3.0,"가끔 중요한 회의 하러 가기 전에 
오프닝 OST 듣고나면 괜히 비장해져서 좋다."
4.0,좋은 메모리
1.0,문화쇼크...
보고싶어요,"2018.3.31.
퍼펙트, 스릴, 완성도, 스토리, 무엇하나 나무랄것이 없다."
4.0,왜때문에 사람들 다들 추천하는걸까요...이유가 있겠죠 나도 함께 감탄하고 공감하고 싶네요.. 그치만 잔인한거 무서운거 너무 못보는 나는 플레이 버튼 누르기가 두려울뿐...
2.5,이거....판타지였어?
5.0,재미없는 시리즈라 할 수 없지만 강간과 지나친 폭력을 남용하는 것 그리고 전형적인 제국주의 스토리는 불편함. 서사는 생각보다 별것 없고 오히려 연출이 뛰어난 (말하자면 돈을 아끼지 않아서 빛나는) 작품이라고 생각한다.
5.0,새로운 판타지의 지평을 연 갓ㅡㅡ좌의 게임
4.0,"모든 선의가 독이 되어 돌아온다.
""왕을 죽게 만든건 포도주도 돼지도 아니라 경의 자비입니다."""
4.0,"첫시리즈의 시작답게 탄탄히 캐릭터 만들어 나가기
이거만 하면 좋은대 우리 형 어떡해 ㅠㅠ"
3.5,ㅈ프리 이 **가....
4.0,원작을 읽은죄~!!
4.0,하루날림
3.5,.
4.5,등장인물이 너무 많아 공부하면서 봐도 힘들다. 엑스트라급으로 지나가던 인물도 갑자기 중요한 역할로 이름이 불려져 당황.
4.5,야한 장면이 너무 많아서 별점을 0.5점 깎았다. 그덜 빼면 완벽하다.
3.0,방대한 스케일 정말 잼있게 봤다
3.0,반지의 제왕이 신화라면 왕좌의 게임은 역사다.
4.5,복잡하고 생각하던 것과 달라 기대 이하인데 이상하게 계속 다음화 보느라 잠을 못 자겠다 드라마로서 가장 중요한 걸 이룬듯
